ResultID,Node2_x,Node2_y,MaxAxialForce,MaxStress,SumOfSxC,MaxSxC
355,0.125,-1.291,1.2080443077176328,1.2080443077176328,318.71510457010066,345.0926664837649
356,0.125,-1.289,1.208634629123384,1.208634629123384,318.4089992242048,344.82065012634456
357,0.125,-1.287,1.2092274145446833,1.2092274145446833,318.1031857031857,344.5490068202018
358,0.125,-1.285,1.2098226774987835,1.2098226774987835,317.79766536964985,344.27773819558143
359,0.125,-1.283,1.2104204315948164,1.2104204315948164,317.49243959469993,344.0068458923096
360,0.125,-1.281,1.2110206905345358,1.2110206905345358,317.1875097580015,343.73633155986414
361,0.125,-1.279,1.2116234681130735,1.2116234681130735,316.8828772478498,343.46619685744747
362,0.125,-1.277,1.2122287782197012,1.2122287782197012,316.57854346123725,343.1964434540587
363,0.125,-1.275,1.212836634838597,1.212836634838597,316.27450980392155,342.92707302856763
364,0.125,-1.273,1.2134470520496252,1.2134470520496252,315.97077769049486,342.65808726978884
365,0.125,-1.271,1.214060044029116,1.214060044029116,315.66734854445315,342.38948787655596
366,0.125,-1.269,1.214675625050658,1.214675625050658,315.3642237982664,342.12127655779756
367,0.125,-1.267,1.2152938094858974,1.2152938094858974,315.0614048934491,341.8534550326132
368,0.125,-1.265,1.2159146118053425,1.2159146118053425,314.7588932806324,341.5860250303502
369,0.125,-1.263,1.2165380465791806,1.2165380465791806,314.45669041963583,341.3189882906815
370,0.125,-1.261,1.2171641284780947,1.2171641284780947,314.15479777954,341.05234656368316
371,0.125,-1.259,1.2177928722740998,1.2177928722740998,313.8532168387609,340.78610160991485
372,0.125,-1.257,1.2184242928413755,1.2184242928413755,313.55194908512334,340.52025520049807
373,0.125,-1.255,1.2190584051571134,1.2190584051571134,313.2509960159363,340.2548091171971
374,0.125,-1.253,1.219695224302371,1.219695224302371,312.9503591380686,339.98976515250075
375,0.125,-1.251,1.2203347654629375,1.2203347654629375,312.65003996802557,339.72512510970415
376,0.125,-1.249,1.2209770439301977,1.2209770439301977,312.3500400320256,339.460890802991
377,0.125,-1.247,1.2216220751020173,1.2216220751020173,312.05036086607845,339.19706405751737
378,0.125,-1.245,1.2222698744836284,1.2222698744836284,311.7510040160643,338.9336467094969
379,0.125,-1.243,1.2229204576885242,1.2229204576885242,311.45197103781175,338.670640606284
380,0.125,-1.241,1.2235738404393675,1.2235738404393675,311.15326349717964,338.4080476064616
381,0.125,-1.239,1.2242300385689031,1.2242300385689031,310.85488297013717,338.14586957992697
